#{"t_start": 1748986655.8635163, "env_id": "None"}
r,l,t
1011.787911,2007,16.569913
1112.757929,2007,27.49846
1290.057972,2007,38.426471
1369.752161,2007,49.290157
1500.211187,2007,65.880142
1500.211187,2007,71.809925
1500.211187,2007,77.786385
1500.211187,2007,83.752763
1500.211187,2007,89.83286
1474.588306,2007,100.847031
1560.992197,2007,111.801353
1590.191981,2007,122.703942
1618.336094,2007,133.683571
1690.616574,2007,150.492099
1690.616574,2007,156.381566
1690.616574,2007,162.348537
1690.616574,2007,168.283138
1690.616574,2007,174.296669
1645.865067,2007,185.236345
1685.303936,2007,196.208863
1705.933504,2007,207.208119
1726.228427,2007,218.238766
1782.658762,2007,234.884173
1782.658762,2007,240.797336
1782.658762,2007,246.754987
1782.658762,2007,252.664098
1782.658762,2007,258.720319
1746.036625,2007,269.710276
1766.889539,2007,280.662922
1769.043453,2007,291.518843
1800.78706,2007,302.400303
1845.225542,2007,319.229707
1845.225542,2007,325.23289
1845.225542,2007,331.145535
1845.225542,2007,337.095541
1845.225542,2007,343.044256
