Date,Average_per_ha,Lower_95,Upper_95,Season,Year
1990-04-01,1.75,1.21,2.29,Spring,1990.0
1990-07-01,1.235,0.9750000000000001,1.495,Summer,1990.0
1991-04-01,1.5,1.17,2.25,Spring,1991.0
1991-07-01,0.81,0.54,1.3,Summer,1991.0
1992-04-01,0.55,0.32,1.12,Spring,1992.0
1992-07-01,0.54,0.37,1.7,Summer,1992.0
1993-04-01,0.44000000000000006,0.345,0.745,Spring,1993.0
1993-07-01,0.93,0.6599999999999999,1.48,Summer,1993.0
1994-04-01,0.44999999999999996,0.33999999999999997,0.8400000000000001,Spring,1994.0
1994-07-01,1.4449999999999998,1.0300998247410451,2.145,Summer,1994.0
1995-04-01,1.1300000000000001,0.79,1.8050000000000002,Spring,1995.0
1995-07-01,2.0149999999999997,1.375,2.77,Summer,1995.0
1996-04-01,1.0750000000000002,0.765,1.625,Spring,1996.0
1996-07-01,1.3678375,0.905,2.11,Summer,1996.0
1997-04-01,1.03,0.745,1.455,Spring,1997.0
1997-07-01,1.3152875000000002,0.905,2.075,Summer,1997.0
1998-04-01,1.5499999999999998,1.03,2.405,Spring,1998.0
1998-07-01,1.34205,0.94,2.015,Summer,1998.0
1999-04-01,1.1553375,0.77,1.9249999999999998,Spring,1999.0
1999-07-01,0.8986874999999999,0.54,1.8399999999999999,Summer,1999.0
2000-04-01,0.20833333333333331,0.19166666666666665,0.2833333333333333,Spring,2000.0
2000-07-01,0.08333333333333333,0.085,0.165,Summer,2000.0
2001-04-01,0.08333333333333333,0.085,0.16666666666666666,Spring,2001.0
2001-07-01,0.08333333333333333,0.085,0.165,Summer,2001.0
2002-04-01,0.08333333333333333,0.085,0.16666666666666666,Spring,2002.0
2002-07-01,0.34938749999999996,0.135,0.305,Summer,2002.0
2003-04-01,0.16666666666666666,0.165,0.25,Spring,2003.0
2003-07-01,0.165,0.165,0.25,Summer,2003.0
2004-04-01,0.16666666666666666,0.125,0.21000000000000002,Spring,2004.0
2004-07-01,0.25,0.25,0.3333333333333333,Summer,2004.0
2005-04-01,0.20833333333333331,0.20833333333333331,0.3333333333333333,Spring,2005.0
2005-07-01,0.25,0.25,0.375,Summer,2005.0
2006-04-01,0.16666666666666666,0.16666666666666666,0.2916666666666667,Spring,2006.0
2006-07-01,0.0,0.0,0.08333333333333333,Summer,2006.0
2007-04-01,0.125,0.125,0.25,Spring,2007.0
2007-07-01,0.041666666666666664,0.041666666666666664,0.125,Summer,2007.0
2008-04-01,0.17028333333333334,0.115,0.3516666666666667,Spring,2008.0
2008-07-01,0.125,0.125,0.25,Summer,2008.0
2009-04-01,0.0,0.0,0.08333333333333333,Spring,2009.0
2009-07-01,0.0,,,Summer,2009.0
2010-04-01,0.16666666666666666,0.125,0.25,Spring,2010.0
2010-07-01,0.0,,,Summer,2010.0
2011-04-01,0.041666666666666664,0.041666666666666664,0.125,Spring,2011.0
2011-07-01,0.0,,,Summer,2011.0
2012-04-01,0.041666666666666664,0.041666666666666664,0.125,Spring,2012.0
2012-07-01,0.0,,,Summer,2012.0
2013-04-01,0.0,0.0,0.08333333333333333,Spring,2013.0
2013-07-01,0.0,,,Summer,2013.0
2014-04-01,0.0,0.0,0.08333333333333333,Spring,2014.0
2014-07-01,0.0,0.0,0.04,Summer,2014.0
2015-04-01,0.0,0.0,0.04,Spring,2015.0
2015-07-01,0.0,0.0,0.04,Summer,2015.0
2016-04-01,0.0,0.0,0.04,Spring,2016.0
2016-07-01,0.0,0.0,0.04,Summer,2016.0
